question,answer
"What is the overall purpose of the bshowell0-587 repository?","This repository contains the coursework for a deep learning class, likely numbered 587. It includes four major homework assignments and a project proposal, covering topics from basic CNNs to advanced generative models and reinforcement learning using TensorFlow and Keras."
"What are the main deep learning topics covered in the four homework assignments?","The homework assignments cover: 1) Foundational CNNs and an analysis of rotational invariance; 2) Unsupervised representation learning with autoencoders for generation and pre-training; 3) Advanced generative models, specifically a DCGAN and a Latent Diffusion Model; and 4) Reinforcement learning with table-based Q-learning and Deep Q-Learning."
"What is the primary technology stack used throughout this repository?","The projects are primarily implemented using Python with TensorFlow 2 and its Keras API. The reinforcement learning assignments also use the Gymnasium library, and the Q-learning implementation uses NumPy."
"What was the key analysis performed in Homework 1 beyond standard digit classification?","Homework 1 featured a detailed analysis of a CNN's robustness to image rotation. It systematically rotated test images and plotted the model's confidence and predictions, comparing a standard model to one trained with a RandomRotation data augmentation layer to empirically show the benefits of augmentation."
"How did the hw1/main.ipynb notebook visualize the internal workings of its CNN?","The notebook included an intermediate 2-dimensional Dense layer with a linear activation, named 'embedding'. By plotting the output of this layer for the training data, it was able to visualize how the network learned to separate the different digit classes in a 2D space."
"What was the outcome of adding a RandomRotation layer to the model in Homework 1?","Adding a RandomRotation layer and retraining the model made it significantly more robust to rotational transformations. The analysis showed that the augmented model maintained higher confidence in the correct class across a much wider range of rotation angles compared to the original model."
"What were the two main applications of autoencoders demonstrated in Homework 2?","Homework 2 demonstrated two key applications: 1) Using an MLP autoencoder on the Frey face dataset for image compression, reconstruction, and generation from its 2D latent space. 2) Using an autoencoder for unsupervised pre-training on MNIST digits to learn efficient, low-dimensional embeddings that could be used to train a highly accurate classifier."
"How was the concept of unsupervised pre-training demonstrated in hw2/main.ipynb?","An autoencoder was first trained on MNIST images of digits 0 and 1 without using their labels. This trained encoder was then used as a feature extractor to convert the 784-dimensional images into 16-dimensional embeddings. Finally, a separate, very simple classifier was trained on these low-dimensional embeddings, achieving 99.91% accuracy and demonstrating the effectiveness of the learned features."
"What did the latent space visualization of the Frey face autoencoder reveal in Homework 2?","Visualizing the 2D latent space as a scatter plot showed that the data points formed a distinct, curved manifold, not just a random cloud. Generating images from a grid in this space revealed that different regions corresponded to different facial poses and expressions, confirming that the autoencoder had learned a structured representation of the faces."
"What two advanced generative models were built in Homework 3?","Homework 3 involved building and training two generative models on the Frey face dataset: a Deep Convolutional Generative Adversarial Network (DCGAN) and a more complex Latent Diffusion Model."
"Describe the two-stage process used to implement the Latent Diffusion Model in Homework 3.","The Latent Diffusion Model was implemented in a two-stage process: 1) An MLP autoencoder was first trained on the Frey dataset to compress the images into a 2D latent space. 2) A diffusion model was then trained not on the images themselves, but on the 2D latent embeddings produced by the autoencoder, learning the distribution of the latent space."
"Why was the diffusion model in Homework 3 trained on a latent space instead of directly on image pixels?","Training a diffusion model on the low-dimensional latent space of an autoencoder is more computationally efficient and stable than training it directly on high-dimensional pixel data. This approach allows the diffusion model to focus on learning the core data manifold captured by the autoencoder, which can lead to better results with simpler models."
"What are the two reinforcement learning algorithms implemented in Homework 4?","Homework 4 implements two RL algorithms: 1) Table-based Q-learning, written from scratch in NumPy, to solve the discrete state space of the Frozen Lake environment. 2) N-step Deep Q-Learning (DQL), using a Keras MLP, to solve the continuous state space of the CartPole environment."
"What was the main finding when training a Q-learning agent on the 'slippery' versus the 'non-slippery' Frozen Lake?","The main finding was that the stochastic 'slippery' environment requires significantly more exploration and training time to learn a successful policy. The agent's success rate jumped from 0% to over 70% only after increasing the training steps from 2,000 to 200,000 and slowing down the epsilon decay rate, highlighting the challenge of learning in non-deterministic environments."
"How does the update mechanism in the Deep Q-Learning implementation in hw4/main.ipynb work?","The implementation uses n-step, episodic updates. It plays an entire episode to completion, collecting all states, actions, and rewards. Then, it calculates the discounted cumulative reward (return) for every step by iterating backwards through the episode. Finally, the entire episode's data is used to update the Q-network in a single batch, which is more stable than single-step updates."
"What is the main goal of the final project described in the project directory?","The final project proposal aims to create a personalized, on-device AI assistant. The plan involves fine-tuning a small language model (Qwen3-0.6B) with personal data and integrating it into the Gosling Android agent framework to enable it to perform tasks by interacting with other applications on a smartphone."
